[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent]
DEFAULTS_NOT_CONFIGURED,Not Configured Default Accoutns,Not Configured Default Accoutns,Asset,,,Yes,SUMMARY,
1,Assets,,Asset,,,Yes,,
11,Cash,,Asset,,,Yes,,1
11100,Checking Account,Bank Asset,Asset,,Yes,,B_ASSET_ACCT,11
11110,Checking In-Transfer,Bank transactions in transit,Asset,,Yes,,B_INTRANSIT_ACCT,11
11130,Checking Unallocated Receipts,"Received, unallocated payments",Asset,,Yes,,B_UNALLOCATEDCASH_ACCT,11
11900,Petty Cash,Cash Book Asset,Asset,,Yes,,CB_ASSET_ACCT,11
11910,Petty Cash In-Transfer,Cash Book Transfer,Asset,,Yes,,CB_CASHTRANSFER_ACCT,11
12,Accounts Receivable,,Asset,,,Yes,,1
121,Accounts Receivable - Trade,,Asset,,,Yes,,12
12110,Accounts Receivable - Trade,Accounts Receivables,Asset,,Yes,,C_RECEIVABLE_ACCT,121
12115,Accounts Receivable Services - Trade,Accounts Receivables for Services,Asset,,Yes,,C_RECEIVABLE_SERVICES_ACCT,121
122,Credit Card in Transit,,Asset,,,Yes,,12
124,Loans Receivable,,Asset,,,Yes,,12
125,Prepayments,,Asset,,,Yes,,12
12510,Vendor prepayment,Prepayments for future expense,Asset,,Yes,,V_PREPAYMENT_ACCT,125
126,Tax receivables,,Asset,,,Yes,,12
12610,Tax credit A/R,Tax to be reimbursed - before tax declaration,Asset,,Yes,,T_CREDIT_ACCT,126
12800,Intercompany Due From,Default Receivables account for intercompany trx,Asset,,Yes,,INTERCOMPANYDUEFROM_ACCT,12
13,Investments,,Asset,,,Yes,,1
14,Inventory,,Asset,,,Yes,,1
14120,Product asset,Product Inventory Account,Asset,,Yes,,P_ASSET_ACCT,14
15,"Prepaid Expenses, Deposits & Other Current Assets",,Asset,,,Yes,,1
151,Prepaid Expenses,,Asset,,,Yes,,15
152,Deposits,,Asset,,,Yes,,15
153,Other Current Assets,,Asset,,,Yes,,15
16,Land and Building,,Asset,,,Yes,,1
17,"Furniture, Fixtures & Equipment",,Asset,,,Yes,,1
177,Project Assets,,Asset,,,Yes,,17
17710,Project asset,Created Asset,Asset,,Yes,,PJ_ASSET_ACCT,177
17720,Project WIP,Asset Work in Progress,Asset,,Yes,,PJ_WIP_ACCT,177
18,Accumulated Depreciation,,Asset,,,Yes,,1
19,Other Assets,,Asset,,,Yes,,1
191,Intangible Assets,,Asset,,,Yes,,19
2,Liabilities,,Liability,,,Yes,,
21,Accounts Payables,,Liability,,,Yes,,2
211,Accounts Payables Trade,,Liability,,,Yes,,21
21100,Accounts Payable Trade,Accounts Payables,Liability,,Yes,,V_LIABILITY_ACCT,211
21190,Not invoiced receipts,"Received products/services from vendors, but not invoiced",Liability,,Yes,,NOTINVOICEDRECEIPTS_ACCT,211
21200,Accounts Payable Services,Accounts Payables for non-product revenue,Liability,,Yes,,V_LIABILITY_SERVICES_ACCT,21
21300,Payment selection,Selected A/P invoices for payment,Liability,,Yes,,B_PAYMENTSELECT_ACCT,21
215,Customer Payables,,Liability,,,Yes,,21
21510,Customer Prepayments,Prepayments for future revenue,Liability,,Yes,,C_PREPAYMENT_ACCT,215
216,Tax Payables,,Liability,,,Yes,,21
21610,Tax due,Tax to be paid - before tax declaration,Liability,,Yes,,T_DUE_ACCT,216
21800,Intercompany Due To,Default Payables account for intercompany trx,Liability,,Yes,,INTERCOMPANYDUETO_ACCT,21
22,Accrued Expenses,,Liability,,,Yes,,2
23,Current Note Payables,,Liability,,,Yes,,2
24,Long Term Liabilities,,Liability,,,Yes,,2
3,Owner's Equity/Net Worth,,Owner's Equity,,,Yes,,
31,Capital,,Owner's Equity,,,Yes,,3
32,Earnings,,Owner's Equity,,,Yes,,3
4,Sales,,Revenue,,,Yes,,
41000,Trade Revenue,Default Product or Service revenue,Revenue,,Yes,,P_REVENUE_ACCT,4
47000,Unearned revenue,"We have invoiced, but not delivered yet",Revenue,,Yes,,UNEARNEDREVENUE_ACCT,4
49,Sales Discounts,,Revenue,,,Yes,,4
